Tick: 237, energy: 10038.6, penergy: -633.01, kenergy: 10671.7
Tick: 238, energy: 10038.5, penergy: -632.701, kenergy: 10671.2
Tick: 239, energy: 10038.3, penergy: -632.76, kenergy: 10671
Tick: 240, energy: 10038.1, penergy: -633.182, kenergy: 10671.3
Tick: 241, energy: 10037.9, penergy: -633.957, kenergy: 10671.9
Tick: 242, energy: 10037.8, penergy: -635.077, kenergy: 10672.8
Tick: 243, energy: 10037.6, penergy: -636.527, kenergy: 10674.1
Tick: 244, energy: 10037.4, penergy: -638.293, kenergy: 10675.7
Tick: 245, energy: 10037.3, penergy: -640.358, kenergy: 10677.6
Tick: 246, energy: 10037.1, penergy: -642.706, kenergy: 10679.9
Tick: 247, energy: 10037, penergy: -645.318, kenergy: 10682.3
Tick: 248, energy: 10036.9, penergy: -648.177, kenergy: 10685.1
Tick: 249, energy: 10036.8, penergy: -651.264, kenergy: 10688.1
Tick: 250, energy: 10036.7, penergy: -654.56, kenergy: 10691.2
Tick: 251, energy: 10036.6, penergy: -658.049, kenergy: 10694.6
Tick: 252, energy: 10036.5, penergy: -661.714, kenergy: 10698.2
Tick: 253, energy: 10036.4, penergy: -665.537, kenergy: 10702
Tick: 254, energy: 10036.4, penergy: -669.501, kenergy: 10705.9
Tick: 255, energy: 10036.3, penergy: -673.592, kenergy: 10709.9
Tick: 256, energy: 10036.2, penergy: -677.793, kenergy: 10714
Tick: 257, energy: 10036.2, penergy: -682.088, kenergy: 10718.3
Tick: 258, energy: 10036.2, penergy: -686.462, kenergy: 10722.6
Tick: 259, energy: 10036.1, penergy: -690.897, kenergy: 10727
Tick: 260, energy: 10036.1, penergy: -695.379, kenergy: 10731.5
Tick: 261, energy: 10036.1, penergy: -699.89, kenergy: 10736
Tick: 262, energy: 10036.1, penergy: -704.414, kenergy: 10740.5
Tick: 263, energy: 10036.1, penergy: -708.932, kenergy: 10745
Tick: 264, energy: 10036.1, penergy: -713.428, kenergy: 10749.5
Tick: 265, energy: 10036.1, penergy: -717.882, kenergy: 10754
Tick: 266, energy: 10036.2, penergy: -722.278, kenergy: 10758.4
Tick: 267, energy: 10036.2, penergy: -726.596, kenergy: 10762.8
Tick: 268, energy: 10036.3, penergy: -730.818, kenergy: 10767.1
Tick: 269, energy: 10036.3, penergy: -734.925, kenergy: 10771.2
Tick: 270, energy: 10036.4, penergy: -738.898, kenergy: 10775.3
Tick: 271, energy: 10036.5, penergy: -742.718, kenergy: 10779.2
Tick: 272, energy: 10036.6, penergy: -746.367, kenergy: 10782.9
Tick: 273, energy: 10036.7, penergy: -749.826, kenergy: 10786.5
Tick: 274, energy: 10036.8, penergy: -753.077, kenergy: 10789.8
Tick: 275, energy: 10036.9, penergy: -756.105, kenergy: 10793
Tick: 276, energy: 10037, penergy: -758.894, kenergy: 10795.9
Tick: 277, energy: 10037.1, penergy: -761.432, kenergy: 10798.6
Tick: 278, energy: 10037.3, penergy: -763.707, kenergy: 10801
Tick: 279, energy: 10037.4, penergy: -765.713, kenergy: 10803.1
Tick: 280, energy: 10037.5, penergy: -767.444, kenergy: 10805
Tick: 281, energy: 10037.7, penergy: -768.899, kenergy: 10806.6
Tick: 282, energy: 10037.8, penergy: -770.081, kenergy: 10807.9
Tick: 283, energy: 10037.9, penergy: -770.995, kenergy: 10808.9
Tick: 284, energy: 10038.1, penergy: -771.654, kenergy: 10809.7
Tick: 285, energy: 10038.2, penergy: -772.073, kenergy: 10810.3
Tick: 286, energy: 10038.3, penergy: -772.273, kenergy: 10810.6
Tick: 287, energy: 10038.4, penergy: -772.283, kenergy: 10810.7
Tick: 288, energy: 10038.5, penergy: -772.134, kenergy: 10810.6
Tick: 289, energy: 10038.5, penergy: -771.867, kenergy: 10810.4
Tick: 290, energy: 10038.6, penergy: -771.526, kenergy: 10810.1
Tick: 291, energy: 10038.6, penergy: -771.159, kenergy: 10809.7
Tick: 292, energy: 10038.5, penergy: -770.817, kenergy: 10809.4
Tick: 293, energy: 10038.5, penergy: -770.555, kenergy: 10809.1
Tick: 294, energy: 10038.4, penergy: -770.423, kenergy: 10808.9
Tick: 295, energy: 10038.3, penergy: -770.471, kenergy: 10808.8
Tick: 296, energy: 10038.2, penergy: -770.742, kenergy: 10809
Tick: 297, energy: 10038.1, penergy: -771.274, kenergy: 10809.4
Tick: 298, energy: 10037.9, penergy: -772.092, kenergy: 10810
Tick: 299, energy: 10037.8, penergy: -773.218, kenergy: 10811
Tick: 300, energy: 10037.6, penergy: -774.658, kenergy: 10812.3
Tick: 301, energy: 10037.5, penergy: -776.413, kenergy: 10813.9
Tick: 302, energy: 10037.3, penergy: -778.474, kenergy: 10815.8
Tick: 303, energy: 10037.2, penergy: -780.825, kenergy: 10818
Tick: 304, energy: 10037, penergy: -783.445, kenergy: 10820.5
Tick: 305, energy: 10036.9, penergy: -786.31, kenergy: 10823.2
Tick: 306, energy: 10036.8, penergy: -789.394, kenergy: 10826.2
Tick: 307, energy: 10036.7, penergy: -792.672, kenergy: 10829.4
Tick: 308, energy: 10036.6, penergy: -796.12, kenergy: 10832.8
